,Category,Message,predicted
114,spam,not heard from u4 a while  call me now am here all night with just my knickers on  make me beg for it like u did last time 01223585236 xx luv nikiyu4 net,ham
135,spam,more people are dogging in your area now  call 09090204448 and join like minded guys  why not arrange 1 yourself  there s 1 this evening  a 1 50 minapn ls278bb,ham
152,ham,unlimited texts  limited minutes ,spam
159,ham,26th of july,spam
284,ham,nokia phone is lovly  ,spam
293,ham,a boy loved a gal  he propsd bt she didnt mind  he gv lv lttrs  bt her frnds threw thm  again d boy decided 2 aproach d gal   dt time a truck was speeding towards d gal  wn it was about 2 hit d girl d boy ran like hell n saved her  she asked  hw cn u run so fast   d boy replied  boost is d secret of my energy  n instantly d girl shouted  our energy  n thy lived happily 2gthr drinking boost evrydy moral of d story   i hv free msgs d    gud ni8,needs human classification
302,ham,no calls  messages  missed calls,spam
319,ham,we have sent jd for customer service cum accounts executive to ur mail id  for details contact us,spam
363,spam,email alertfrom  jeri stewartsize  2kbsubject  low cost prescripiton drvgsto listen to email call 123,ham
504,spam,oh my god  i ve found your number again  i m so glad  text me back xafter this msgs cst std ntwk chg  1 50,ham
546,spam,hi babe its chloe  how r u  i was smashed on saturday night  it was great  how was your weekend  u been missing me  sp visionsms com text stop to stop 150p text,ham
741,spam,0a networks allow companies to bill for sms  so they are responsible for their  suppliers   just as a shop has to give a guarantee on what they sell  b  g ,ham
876,spam,rct  thnq adrian for u text  rgds vatian,ham
885,spam,2 2 146tf150p,ham
953,spam,hello  we need some posh birds and chaps to user trial prods for champneys  can i put you down  i need your address and dob asap  ta r,ham
967,spam, error ,ham
